teacher_id,competence_code,competence_nom,domaine,current_level_t3,current_level_t2,current_level_t1,current_level_t,gap_next_3m,lag_gap_t3_t2,lag_gap_t2_t1,lag_gap_t1_t,rolling_tendance,days_since_last_training,training_frequency_per_month,is_long_absent,is_stagnant,avg_level,min_level,max_level,nb_level_5,nb_level_1,nb_savoirs,nb_competences,competency_coverage_rate,nb_formations_completed,nb_formations_in_progress,taux_assiduite,nb_besoins_exprimes,nb_besoins_approuves,avg_eval_score,nb_evaluations,months_since_last_training,engagement_score
ENS014,ANG,Anglais Technique,SUP,3,2,3,3,2,-1,1,0,0.0,87,0.0,0,0,2.75,2,3,0,0,3,1,1.0,4,0,0.88,4,2,2.8,2,2,25.0
ENS030,PROG,Programmation,GL,2,3,3,2,2,1,0,-1,0.0,157,0.42,0,0,2.5,2,3,0,0,1,2,0.5,4,3,0.94,1,0,4.23,2,5,25.16
ENS021,BD,Bases de Donnees,INFO,1,1,1,2,3,0,0,1,0.33,157,0.17,0,0,1.25,1,2,0,3,1,3,0.67,0,3,0.89,3,0,2.9,4,5,19.25
ENS006,ANG,Anglais Technique,SUP,2,2,1,1,0,0,-1,0,-0.33,128,0.25,0,0,1.5,1,2,0,2,2,2,0.5,0,2,0.66,4,1,3.86,3,4,19.52
ENS026,BD,Bases de Donnees,INFO,1,1,2,1,2,0,1,-1,0.0,49,0.0,0,0,1.25,1,2,0,3,3,2,0.5,2,2,0.7,4,0,3.27,2,1,21.04
ENS026,PROG,Programmation,GL,3,2,4,3,1,-1,2,-1,0.0,305,0.42,1,0,3.0,2,4,0,0,3,3,0.67,5,1,0.66,0,2,4.34,3,10,26.48
ENS029,GC_STRU,Structure Batiment,GC,3,1,3,2,3,-2,2,-1,-0.33,197,0.25,1,0,2.25,1,3,0,1,3,2,0.5,4,1,0.59,3,2,4.0,2,6,24.95
ENS002,PROG,Programmation,GL,5,5,4,4,0,0,-1,0,-0.33,185,0.17,1,0,4.5,4,5,2,0,1,2,0.5,4,2,0.71,3,2,2.93,4,6,26.41
ENS010,ANG,Anglais Technique,SUP,3,1,3,1,0,-2,2,-2,-0.67,354,0.33,1,1,2.0,1,3,0,2,2,1,1.0,1,2,0.6,1,0,2.55,2,11,14.1
ENS001,PROG,Programmation,GL,3,4,2,3,2,1,-2,1,0.0,226,0.25,1,0,3.0,2,4,0,0,2,1,1.0,1,0,0.9,0,1,2.94,4,7,18.38
ENS015,WEB_B,Developpement Web Back,WEB,3,5,3,3,2,2,-2,0,0.0,301,0.33,1,0,3.5,3,5,1,0,3,2,0.5,3,3,0.87,4,1,4.29,4,10,28.93
ENS028,GC_STRU,Structure Batiment,GC,3,3,2,4,0,0,-1,2,0.33,296,0.25,1,0,3.0,2,4,0,0,3,1,1.0,2,3,0.53,2,0,3.04,3,9,19.23
ENS016,PED,Pedagogie,SUP,4,2,2,2,1,-2,0,0,-0.67,108,0.42,0,1,2.5,2,4,0,0,1,1,1.0,3,3,0.65,3,1,2.62,4,3,23.49
ENS017,WEB_B,Developpement Web Back,WEB,4,5,5,3,2,1,0,-2,-0.33,274,0.0,1,0,4.25,3,5,2,0,2,2,0.5,3,3,0.74,4,2,4.3,4,9,28.3
ENS008,WEB_B,Developpement Web Back,WEB,3,4,4,4,0,1,0,0,0.33,202,0.42,1,0,3.75,3,4,0,0,3,2,0.5,5,1,0.88,1,2,3.57,4,6,28.54
ENS006,SEC,Securite Informatique,RT,4,4,4,2,0,0,0,-2,-0.67,249,0.08,1,1,3.5,2,4,0,0,2,1,1.0,0,2,0.67,1,1,3.15,4,8,16.65
ENS029,GESTION,Gestion de Projet,SUP,3,3,3,2,0,0,0,-1,-0.33,209,0.08,1,0,2.75,2,3,0,0,3,1,1.0,5,0,0.84,1,0,4.18,2,6,26.56
ENS028,GC_MAT,Matériaux,GC,1,1,1,2,1,0,0,1,0.33,141,0.25,0,0,1.25,1,2,0,3,3,2,0.5,2,1,0.77,0,0,4.43,1,4,18.21
ENS010,GC_MAT,Matériaux,GC,4,2,3,4,3,-2,1,1,0.0,233,0.42,1,0,3.25,2,4,0,0,1,1,1.0,4,1,0.55,2,2,3.7,1,7,21.65
ENS023,GC_STRU,Structure Batiment,GC,3,1,2,3,3,-2,1,1,0.0,65,0.33,0,0,2.25,1,3,0,1,3,2,0.5,0,3,0.87,0,1,4.42,4,2,19.19
ENS019,RESEAU,Reseaux,RT,4,2,3,2,2,-2,1,-1,-0.67,345,0.33,1,1,2.75,2,4,0,0,2,2,0.5,3,2,0.65,1,0,3.06,4,11,22.37
ENS018,WEB_B,Developpement Web Back,WEB,1,1,2,2,3,0,1,0,0.33,44,0.25,0,0,1.5,1,2,0,2,2,1,1.0,3,1,0.66,2,1,3.06,3,1,21.92
ENS001,SEC,Securite Informatique,RT,4,2,4,2,0,-2,2,-2,-0.67,238,0.25,1,1,3.0,2,4,0,0,3,1,1.0,5,3,0.79,3,1,4.09,1,7,26.63
ENS003,PROG,Programmation,GL,3,2,3,4,1,-1,1,1,0.33,327,0.17,1,0,3.0,2,4,0,0,2,3,0.67,4,2,0.69,4,1,3.2,4,10,27.85
ENS011,SEC,Securite Informatique,RT,3,3,3,2,0,0,0,-1,-0.33,128,0.17,0,0,2.75,2,3,0,0,1,3,0.67,4,1,0.59,3,1,3.95,3,4,26.35
ENS020,ALG,Algorithmique,GL,1,1,1,1,3,0,0,0,0.0,184,0.0,1,0,1.0,1,1,0,4,3,3,0.67,1,2,0.52,0,2,3.08,2,6,13.76
ENS006,GC_STRU,Structure Batiment,GC,5,4,3,3,1,-1,-1,0,-0.67,275,0.25,1,1,3.75,3,5,1,0,2,1,1.0,0,2,0.92,3,0,4.14,4,9,21.88
ENS028,BD,Bases de Donnees,INFO,4,3,5,5,1,-1,2,0,0.33,106,0.33,0,0,4.25,3,5,2,0,2,1,1.0,1,0,0.75,3,2,3.69,2,3,19.13
ENS022,GESTION,Gestion de Projet,SUP,3,2,2,2,2,-1,0,0,-0.33,331,0.25,1,0,2.25,2,3,0,0,2,3,0.67,4,0,0.77,0,0,3.75,3,11,23.85
ENS010,ANG,Anglais Technique,SUP,3,1,1,1,1,-2,0,0,-0.67,68,0.08,0,1,1.5,1,3,0,3,1,2,0.5,3,3,0.63,1,1,3.91,4,2,23.97
ENS011,GESTION,Gestion de Projet,SUP,1,3,1,2,2,2,-2,1,0.33,247,0.0,1,0,1.75,1,3,0,2,3,1,1.0,5,1,0.91,1,0,2.62,3,8,25.29
ENS027,PED,Pedagogie,SUP,5,5,5,4,2,0,0,-1,-0.33,185,0.42,1,0,4.75,4,5,3,0,2,2,0.5,4,3,0.7,4,0,4.28,3,6,28.56
ENS005,GESTION,Gestion de Projet,SUP,3,2,1,1,2,-1,-1,0,-0.67,324,0.33,1,1,1.75,1,3,0,2,1,3,0.67,2,0,0.84,1,1,3.54,4,10,22.28
ENS008,PROG,Programmation,GL,3,2,4,3,3,-1,2,-1,0.0,76,0.25,0,0,3.0,2,4,0,0,2,2,0.5,2,2,0.8,1,1,3.32,4,2,21.64
ENS017,PED,Pedagogie,SUP,4,5,4,5,0,1,-1,1,0.33,75,0.17,0,0,4.5,4,5,2,0,2,2,0.5,0,3,0.89,0,2,4.24,4,2,18.93
ENS005,BD,Bases de Donnees,INFO,2,1,1,3,0,-1,0,2,0.33,285,0.42,1,0,1.75,1,3,0,2,2,1,1.0,1,2,0.75,2,1,4.26,4,9,22.27
ENS016,GC_STRU,Structure Batiment,GC,2,2,4,4,1,0,2,0,0.67,189,0.33,1,0,3.0,2,4,0,0,1,3,0.67,3,0,0.6,0,1,4.39,2,6,20.78
ENS030,PROG,Programmation,GL,4,5,4,5,2,1,-1,1,0.33,277,0.25,1,0,4.5,4,5,2,0,1,2,0.5,4,1,0.67,4,2,3.99,2,9,26.33
ENS001,WEB_F,Developpement Web Front,WEB,1,1,1,1,3,0,0,0,0.0,31,0.17,0,0,1.0,1,1,0,4,3,2,0.5,4,3,0.89,3,2,3.47,3,1,26.89
ENS027,GESTION,Gestion de Projet,SUP,4,4,3,3,0,0,-1,0,-0.33,152,0.33,0,0,3.5,3,4,0,0,2,1,1.0,3,0,0.64,3,2,4.33,4,5,26.86
ENS030,GESTION,Gestion de Projet,SUP,4,5,5,3,1,1,0,-2,-0.33,94,0.33,0,0,4.25,3,5,2,0,3,2,0.5,0,3,0.54,3,0,3.94,4,3,19.58
ENS029,ANG,Anglais Technique,SUP,5,4,4,5,1,-1,0,1,0.0,203,0.33,1,0,4.5,4,5,2,0,3,2,0.5,5,0,0.88,4,1,4.41,4,6,33.22
ENS021,PROG,Programmation,GL,5,3,5,3,0,-2,2,-2,-0.67,177,0.08,0,1,4.0,3,5,2,0,3,1,1.0,3,0,0.84,0,1,2.83,3,5,20.36
ENS020,PROG,Programmation,GL,2,2,3,2,1,0,1,-1,0.0,221,0.25,1,0,2.25,2,3,0,0,1,1,1.0,4,3,0.75,1,0,2.85,4,7,24.45
ENS028,RESEAU,Reseaux,RT,3,3,1,2,3,0,-2,1,-0.33,148,0.25,0,0,2.25,1,3,0,1,3,2,0.5,3,2,0.8,3,1,3.86,2,4,23.72
ENS030,GC_STRU,Structure Batiment,GC,1,2,2,3,1,1,0,1,0.67,247,0.42,1,0,2.0,1,3,0,1,2,2,0.5,2,1,0.95,3,0,2.97,3,8,22.19
ENS007,GESTION,Gestion de Projet,SUP,4,3,4,3,0,-1,1,-1,-0.33,232,0.17,1,0,3.5,3,4,0,0,1,3,0.67,5,0,0.91,3,1,4.05,2,7,28.65
ENS007,ANG,Anglais Technique,SUP,3,2,1,3,1,-1,-1,2,0.0,158,0.42,0,0,2.25,1,3,0,1,3,3,0.67,5,1,0.78,0,1,4.08,1,5,23.56
ENS001,GESTION,Gestion de Projet,SUP,3,2,3,1,1,-1,1,-2,-0.67,181,0.17,1,1,2.25,1,3,0,1,3,2,0.5,1,1,0.56,4,1,3.56,3,6,20.42
ENS027,RESEAU,Reseaux,RT,2,3,3,3,2,1,0,0,0.33,88,0.25,0,0,2.75,2,3,0,0,1,1,1.0,1,3,0.94,4,1,2.68,4,2,22.06
ENS030,RESEAU,Reseaux,RT,1,2,3,1,4,1,1,-2,0.0,329,0.25,1,0,1.75,1,3,0,2,3,2,0.5,0,1,0.71,4,2,3.16,2,10,16.87
ENS028,PED,Pedagogie,SUP,5,3,5,4,2,-2,2,-1,-0.33,362,0.25,1,0,4.25,3,5,2,0,1,1,1.0,0,0,0.64,3,0,2.69,2,12,14.58
ENS005,BD,Bases de Donnees,INFO,2,2,2,3,3,0,0,1,0.33,330,0.42,1,0,2.25,2,3,0,0,3,1,1.0,3,0,0.88,4,1,4.38,3,11,27.66
ENS006,WEB_F,Developpement Web Front,WEB,1,3,2,1,2,2,-1,-1,0.0,215,0.0,1,0,1.75,1,3,0,2,3,2,0.5,4,2,0.53,2,0,4.44,4,7,27.53
ENS001,BD,Bases de Donnees,INFO,3,5,3,5,1,2,-2,2,0.67,55,0.17,0,0,4.0,3,5,2,0,1,1,1.0,4,1,0.53,4,0,3.67,2,1,24.99
ENS005,GC_STRU,Structure Batiment,GC,3,2,4,2,0,-1,2,-2,-0.33,104,0.08,0,0,2.75,2,4,0,0,3,2,0.5,1,0,0.8,0,0,2.53,2,3,14.06
ENS013,GESTION,Gestion de Projet,SUP,3,2,1,1,1,-1,-1,0,-0.67,94,0.42,0,1,1.75,1,3,0,2,2,3,0.67,0,0,0.71,2,2,3.69,4,3,18.93
ENS030,SEC,Securite Informatique,RT,5,3,5,3,2,-2,2,-2,-0.67,264,0.42,1,1,4.0,3,5,2,0,1,1,1.0,3,3,0.69,0,1,3.92,4,8,23.29
ENS001,SEC,Securite Informatique,RT,2,2,3,4,0,0,1,1,0.67,94,0.17,0,0,2.75,2,4,0,0,3,3,0.67,4,2,0.67,4,2,3.09,4,3,27.53
ENS025,GESTION,Gestion de Projet,SUP,2,4,2,4,0,2,-2,2,0.67,250,0.25,1,0,3.0,2,4,0,0,1,2,0.5,2,3,0.68,0,1,3.35,3,8,18.6
ENS012,GC_STRU,Structure Batiment,GC,3,2,4,3,0,-1,2,-1,0.0,73,0.0,0,0,3.0,2,4,0,0,2,1,1.0,5,2,0.87,4,0,3.67,3,2,30.19
ENS014,GC_MAT,Matériaux,GC,4,2,3,3,1,-2,1,0,-0.33,56,0.17,0,0,3.0,2,4,0,0,3,2,0.5,2,0,0.76,1,0,3.81,2,1,19.42
ENS009,BD,Bases de Donnees,INFO,1,2,3,2,0,1,1,-1,0.33,172,0.33,0,0,2.0,1,3,0,1,1,2,0.5,4,0,0.77,2,0,2.86,3,5,24.07
ENS025,PROG,Programmation,GL,4,4,3,3,2,0,-1,0,-0.33,65,0.08,0,0,3.5,3,4,0,0,3,3,0.67,0,0,0.84,1,1,3.34,3,2,16.38
ENS014,RESEAU,Reseaux,RT,2,3,3,4,0,1,0,1,0.67,320,0.33,1,0,3.0,2,4,0,0,1,1,1.0,1,1,0.84,0,2,2.66,4,10,17.52
ENS028,GC_STRU,Structure Batiment,GC,3,2,2,3,3,-1,0,1,0.0,140,0.33,0,0,2.5,2,3,0,0,1,2,0.5,3,0,0.63,4,1,3.55,3,4,24.75
ENS008,BD,Bases de Donnees,INFO,1,1,2,3,0,0,1,1,0.67,134,0.17,0,0,1.75,1,3,0,2,1,1,1.0,2,2,0.65,0,1,3.99,2,4,18.23
ENS024,GC_MAT,Matériaux,GC,2,3,4,4,0,1,1,0,0.67,316,0.42,1,0,3.25,2,4,0,0,2,1,1.0,3,0,0.7,3,0,4.22,4,10,26.94
ENS014,SEC,Securite Informatique,RT,4,3,4,4,1,-1,1,0,0.0,237,0.0,1,0,3.75,3,4,0,0,2,1,1.0,4,3,0.87,2,0,3.37,1,7,22.59
ENS001,SEC,Securite Informatique,RT,2,3,4,3,3,1,1,-1,0.33,188,0.42,1,0,3.0,2,4,0,0,2,1,1.0,2,1,0.53,0,2,3.52,3,6,18.19
ENS015,PROG,Programmation,GL,4,5,5,3,0,1,0,-2,-0.33,104,0.17,0,0,4.25,3,5,2,0,1,1,1.0,4,1,0.84,0,0,4.4,4,3,27.0
ENS013,RESEAU,Reseaux,RT,3,4,4,3,2,1,0,-1,0.0,351,0.17,1,0,3.5,3,4,0,0,1,2,0.5,0,3,0.7,2,1,3.68,3,11,17.36
ENS017,ANG,Anglais Technique,SUP,3,1,2,2,2,-2,1,0,-0.33,218,0.17,1,0,2.0,1,3,0,1,1,3,0.67,0,3,0.71,4,2,4.29,4,7,22.13
ENS020,BD,Bases de Donnees,INFO,5,5,3,4,0,0,-2,1,-0.33,61,0.25,0,0,4.25,3,5,2,0,1,2,0.5,5,0,0.73,1,0,3.0,4,2,26.65
ENS002,RESEAU,Reseaux,RT,1,2,2,2,3,1,0,0,0.33,220,0.17,1,0,1.75,1,2,0,1,2,2,0.5,2,0,0.86,2,0,3.16,4,7,22.62
ENS003,PED,Pedagogie,SUP,2,2,3,3,3,0,1,0,0.33,200,0.0,1,0,2.5,2,3,0,0,3,3,0.67,1,2,0.64,3,0,3.69,1,6,17.08
ENS011,SEC,Securite Informatique,RT,3,4,3,4,1,1,-1,1,0.33,299,0.0,1,0,3.5,3,4,0,0,3,3,0.67,3,2,0.51,2,0,4.4,3,9,23.85
ENS003,ANG,Anglais Technique,SUP,2,1,1,1,0,-1,0,0,-0.33,181,0.0,1,0,1.25,1,2,0,3,3,3,0.67,5,0,0.8,4,0,3.69,2,6,28.38
ENS018,SEC,Securite Informatique,RT,2,2,4,4,0,0,2,0,0.67,254,0.0,1,0,3.0,2,4,0,0,2,2,0.5,5,1,0.94,4,1,4.0,4,8,32.7
ENS016,ALG,Algorithmique,GL,1,3,1,2,3,2,-2,1,0.33,129,0.17,0,0,1.75,1,3,0,2,3,3,0.67,3,3,0.85,3,2,3.55,2,4,23.35
ENS019,WEB_B,Developpement Web Back,WEB,1,3,1,2,2,2,-2,1,0.33,276,0.17,1,0,1.75,1,3,0,2,3,1,1.0,5,0,0.63,1,1,3.4,2,9,23.95
ENS002,GC_STRU,Structure Batiment,GC,3,2,2,3,1,-1,0,1,0.0,242,0.0,1,0,2.5,2,3,0,0,2,3,0.67,2,1,0.67,0,1,2.95,3,8,17.75
ENS028,PROG,Programmation,GL,3,5,5,4,1,2,0,-1,0.33,49,0.17,0,0,4.25,3,5,2,0,2,3,0.67,1,3,0.7,0,0,2.54,2,1,13.58
ENS013,ANG,Anglais Technique,SUP,1,3,3,3,1,2,0,0,0.67,177,0.08,0,0,2.5,1,3,0,1,2,1,1.0,0,1,0.69,4,1,2.63,4,5,18.71
ENS011,PED,Pedagogie,SUP,3,3,1,3,3,0,-2,2,0.0,103,0.17,0,0,2.5,1,3,0,1,2,1,1.0,4,2,0.61,3,0,3.83,1,3,23.21
ENS006,PED,Pedagogie,SUP,5,4,3,5,1,-1,-1,2,0.0,229,0.25,1,0,4.25,3,5,2,0,1,3,0.67,3,2,0.61,0,1,4.08,3,7,21.71
ENS011,GESTION,Gestion de Projet,SUP,2,4,4,4,0,2,0,0,0.67,327,0.42,1,0,3.5,2,4,0,0,2,1,1.0,0,2,0.75,1,2,3.43,4,10,17.61
ENS029,GESTION,Gestion de Projet,SUP,4,2,2,2,1,-2,0,0,-0.67,48,0.17,0,1,2.5,2,4,0,0,1,1,1.0,1,0,0.64,2,2,3.3,4,1,19.8
ENS021,BD,Bases de Donnees,INFO,2,1,3,1,0,-1,2,-2,-0.33,54,0.42,0,0,1.75,1,3,0,2,2,2,0.5,0,2,0.7,3,2,3.38,4,1,19.26
ENS018,PED,Pedagogie,SUP,4,3,4,5,2,-1,1,1,0.33,72,0.42,0,0,4.0,3,5,1,0,2,1,1.0,3,1,0.75,2,0,2.66,3,2,21.57
ENS008,SEC,Securite Informatique,RT,4,4,5,5,2,0,1,0,0.33,209,0.25,1,0,4.5,4,5,2,0,1,3,0.67,2,3,0.62,0,0,3.84,4,6,20.78
ENS018,ANG,Anglais Technique,SUP,2,3,3,3,1,1,0,0,0.33,45,0.08,0,0,2.75,2,3,0,0,3,3,0.67,3,0,0.56,1,2,3.23,4,1,22.26
ENS001,GC_STRU,Structure Batiment,GC,4,2,4,2,2,-2,2,-2,-0.67,220,0.25,1,1,3.0,2,4,0,0,1,3,0.67,1,2,0.68,2,0,4.42,1,7,17.74
ENS016,ALG,Algorithmique,GL,3,1,2,3,1,-2,1,1,0.0,317,0.0,1,0,2.25,1,3,0,1,2,2,0.5,5,3,0.6,4,1,3.89,4,10,30.78
ENS027,PROG,Programmation,GL,2,2,2,2,3,0,0,0,0.0,74,0.42,0,0,2.0,2,2,0,0,2,3,0.67,2,0,0.75,2,1,4.2,2,2,21.15
ENS025,WEB_F,Developpement Web Front,WEB,2,3,1,1,2,1,-2,0,-0.33,151,0.25,0,0,1.75,1,3,0,2,1,2,0.5,4,2,0.71,4,0,3.72,1,5,24.49
ENS009,WEB_F,Developpement Web Front,WEB,1,1,1,2,3,0,0,1,0.33,239,0.33,1,0,1.25,1,2,0,3,1,1,1.0,2,0,0.7,4,1,2.76,2,7,20.02
ENS013,PROG,Programmation,GL,3,4,5,3,1,1,1,-2,0.0,185,0.08,1,0,3.75,3,5,1,0,1,2,0.5,5,1,0.66,4,1,4.19,3,6,30.18
ENS012,BD,Bases de Donnees,INFO,1,3,3,2,1,2,0,-1,0.33,185,0.33,1,0,2.25,1,3,0,1,3,1,1.0,4,1,0.77,4,0,2.84,3,6,26.03
ENS013,WEB_B,Developpement Web Back,WEB,5,3,3,3,0,-2,0,0,-0.67,358,0.33,1,1,3.5,3,5,1,0,2,3,0.67,1,3,0.78,0,1,4.28,3,11,18.96
ENS013,GESTION,Gestion de Projet,SUP,3,2,2,1,4,-1,0,-1,-0.67,182,0.25,1,1,2.0,1,3,0,1,1,3,0.67,0,1,0.7,3,1,2.91,2,6,15.32
ENS011,PROG,Programmation,GL,4,5,4,5,1,1,-1,1,0.33,234,0.08,1,0,4.5,4,5,2,0,2,3,0.67,4,0,0.64,3,0,3.03,2,7,23.26
ENS011,GC_STRU,Structure Batiment,GC,1,1,1,2,3,0,0,1,0.33,157,0.08,0,0,1.25,1,2,0,3,2,3,0.67,5,2,0.59,1,1,4.49,4,5,28.93
ENS028,ANG,Anglais Technique,SUP,2,2,2,1,0,0,0,-1,-0.33,231,0.33,1,0,1.75,1,2,0,1,2,1,1.0,1,2,0.52,2,1,3.7,4,7,20.0
ENS012,PROG,Programmation,GL,3,4,2,2,3,1,-2,0,-0.33,217,0.25,1,0,2.75,2,4,0,0,2,1,1.0,3,0,0.76,1,1,3.61,1,7,19.52
ENS017,BD,Bases de Donnees,INFO,4,5,4,5,0,1,-1,1,0.33,349,0.42,1,0,4.5,4,5,2,0,3,1,1.0,1,0,0.68,2,2,4.38,2,11,19.16
ENS011,WEB_F,Developpement Web Front,WEB,1,2,2,1,3,1,0,-1,0.0,49,0.08,0,0,1.5,1,2,0,2,3,2,0.5,3,3,0.57,4,0,3.16,3,1,23.67
ENS014,GC_MAT,Matériaux,GC,2,3,4,4,3,1,1,0,0.67,289,0.33,1,0,3.25,2,4,0,0,3,2,0.5,5,2,0.71,0,1,3.16,1,9,21.37
ENS003,PED,Pedagogie,SUP,4,5,4,5,1,1,-1,1,0.33,335,0.25,1,0,4.5,4,5,2,0,2,3,0.67,4,1,0.82,4,1,2.84,4,11,27.78
ENS012,GC_STRU,Structure Batiment,GC,1,3,1,1,3,2,-2,0,0.0,127,0.0,0,0,1.5,1,3,0,3,2,2,0.5,3,1,0.69,1,1,3.5,4,4,23.45
ENS028,ANG,Anglais Technique,SUP,3,3,1,3,1,0,-2,2,0.0,136,0.33,0,0,2.5,1,3,0,1,2,3,0.67,3,3,0.64,1,1,4.32,3,4,23.34
ENS013,SEC,Securite Informatique,RT,4,3,4,4,3,-1,1,0,0.0,342,0.25,1,0,3.75,3,4,0,0,1,1,1.0,2,2,0.6,2,1,3.91,4,11,22.82
ENS015,PED,Pedagogie,SUP,3,3,3,4,3,0,0,1,0.33,177,0.0,0,0,3.25,3,4,0,0,3,3,0.67,4,3,0.9,3,1,4.41,2,5,27.32
ENS022,ANG,Anglais Technique,SUP,2,1,2,3,0,-1,1,1,0.33,256,0.42,1,0,2.0,1,3,0,1,2,3,0.67,3,1,0.59,4,1,4.37,3,8,26.19
ENS006,SEC,Securite Informatique,RT,3,3,5,5,1,0,2,0,0.67,55,0.42,0,0,4.0,3,5,2,0,3,1,1.0,5,1,0.52,3,1,3.93,1,1,24.96
ENS019,ANG,Anglais Technique,SUP,3,1,1,3,1,-2,0,2,0.0,238,0.42,1,0,2.0,1,3,0,2,2,2,0.5,5,1,0.84,2,1,3.07,1,7,23.84
ENS004,GC_STRU,Structure Batiment,GC,3,5,5,3,0,2,0,-2,0.0,119,0.25,0,0,4.0,3,5,2,0,1,1,1.0,3,3,0.58,2,0,2.52,1,3,17.44
ENS007,BD,Bases de Donnees,INFO,4,4,4,5,2,0,0,1,0.33,98,0.33,0,0,4.25,4,5,1,0,2,2,0.5,1,0,0.65,3,2,3.01,2,3,17.27
