teacher_id,competence_id,ref_month,date_t,current_level,required_level,gap_next_3m,source_type,source_id,is_synthetic,dataset_version,created_at,department_id,unit_id
ENS035,2,2025-01-20,2025-01-20,2,5,,postgresql_d2f,334,False,v1.2.0,2025-01-20,DEPT_TECH_WEB,UP_TECH_WEB
ENS038,9,2025-02-14,2025-02-14,2,3,,postgresql_d2f,359,False,v1.2.0,2025-02-14,DEPT_INF2,UP_INF2
ENS002,6,2025-03-01,2025-03-01,2,5,,postgresql_d2f,8,False,v1.2.0,2025-03-01,DEPT_GL,UP_GL
ENS035,8,2025-03-15,2025-03-15,3,5,,postgresql_d2f,337,False,v1.2.0,2025-03-15,DEPT_TECH_WEB,UP_TECH_WEB
ENS036,3,2025-04-08,2025-04-08,2,5,,postgresql_d2f,343,False,v1.2.0,2025-04-08,DEPT_TECH_WEB,UP_TECH_WEB
ENS037,10,2025-05-15,2025-05-15,1,3,,postgresql_d2f,353,False,v1.2.0,2025-05-15,DEPT_INF2,UP_INF2
ENS005,3,2025-06-01,2025-06-01,2,2,,postgresql_d2f,19,False,v1.2.0,2025-06-01,DEPT_INFO,UP_INFO
ENS036,2,2025-06-25,2025-06-25,1,5,,postgresql_d2f,341,False,v1.2.0,2025-06-25,DEPT_TECH_WEB,UP_TECH_WEB
ENS039,9,2025-08-19,2025-08-19,1,3,,postgresql_d2f,367,False,v1.2.0,2025-08-19,DEPT_GL,UP_GL
ENS036,11,2025-09-05,2025-09-05,4,2,,postgresql_d2f,346,False,v1.2.0,2025-09-05,DEPT_TECH_WEB,UP_TECH_WEB
ENS040,10,2025-09-30,2025-09-30,2,3,,postgresql_d2f,373,False,v1.2.0,2025-09-30,DEPT_RT,UP_RT
ENS035,11,2026-01-18,2026-01-18,1,2,,postgresql_d2f,339,False,v1.2.0,2026-01-18,DEPT_TECH_WEB,UP_TECH_WEB
ENS041,9,2026-02-11,2026-02-11,1,3,,postgresql_d2f,380,False,v1.2.0,2026-02-11,DEPT_IA,UP_IA
ENS006,1,2026-07-22,2026-07-22,3,2,,postgresql_d2f,23,False,v1.2.0,2026-07-22,DEPT_INFO,UP_INFO
ENS006,2,2026-07-22,2026-07-22,1,5,,postgresql_d2f,25,False,v1.2.0,2026-07-22,DEPT_INFO,UP_INFO
ENS006,3,2026-07-22,2026-07-22,1,5,,postgresql_d2f,29,False,v1.2.0,2026-07-22,DEPT_INFO,UP_INFO
ENS006,4,2026-07-22,2026-07-22,3,5,,postgresql_d2f,30,False,v1.2.0,2026-07-22,DEPT_INFO,UP_INFO
ENS006,6,2026-07-22,2026-07-22,3,5,,postgresql_d2f,31,False,v1.2.0,2026-07-22,DEPT_INFO,UP_INFO
ENS007,1,2026-07-22,2026-07-22,1,5,,postgresql_d2f,36,False,v1.2.0,2026-07-22,DEPT_INFO,UP_INFO
ENS007,2,2026-07-22,2026-07-22,3,5,,postgresql_d2f,39,False,v1.2.0,2026-07-22,DEPT_INFO,UP_INFO
ENS007,3,2026-07-22,2026-07-22,1,5,,postgresql_d2f,43,False,v1.2.0,2026-07-22,DEPT_INFO,UP_INFO
ENS007,4,2026-07-22,2026-07-22,2,5,,postgresql_d2f,45,False,v1.2.0,2026-07-22,DEPT_INFO,UP_INFO
ENS008,1,2026-07-22,2026-07-22,3,5,,postgresql_d2f,49,False,v1.2.0,2026-07-22,DEPT_INFO,UP_INFO
ENS008,2,2026-07-22,2026-07-22,3,2,,postgresql_d2f,50,False,v1.2.0,2026-07-22,DEPT_INFO,UP_INFO
ENS008,3,2026-07-22,2026-07-22,2,5,,postgresql_d2f,52,False,v1.2.0,2026-07-22,DEPT_INFO,UP_INFO
ENS008,4,2026-07-22,2026-07-22,3,5,,postgresql_d2f,54,False,v1.2.0,2026-07-22,DEPT_INFO,UP_INFO
ENS008,5,2026-07-22,2026-07-22,3,3,,postgresql_d2f,55,False,v1.2.0,2026-07-22,DEPT_INFO,UP_INFO
ENS008,6,2026-07-22,2026-07-22,3,5,,postgresql_d2f,56,False,v1.2.0,2026-07-22,DEPT_INFO,UP_INFO
ENS009,1,2026-07-22,2026-07-22,2,5,,postgresql_d2f,61,False,v1.2.0,2026-07-22,DEPT_INFO,UP_INFO
ENS009,3,2026-07-22,2026-07-22,3,5,,postgresql_d2f,65,False,v1.2.0,2026-07-22,DEPT_INFO,UP_INFO
ENS009,4,2026-07-22,2026-07-22,1,5,,postgresql_d2f,66,False,v1.2.0,2026-07-22,DEPT_INFO,UP_INFO
ENS009,5,2026-07-22,2026-07-22,3,3,,postgresql_d2f,67,False,v1.2.0,2026-07-22,DEPT_INFO,UP_INFO
ENS009,6,2026-07-22,2026-07-22,1,5,,postgresql_d2f,69,False,v1.2.0,2026-07-22,DEPT_INFO,UP_INFO
ENS010,1,2026-07-22,2026-07-22,3,5,,postgresql_d2f,73,False,v1.2.0,2026-07-22,DEPT_RT,UP_RT
ENS010,2,2026-07-22,2026-07-22,1,2,,postgresql_d2f,74,False,v1.2.0,2026-07-22,DEPT_RT,UP_RT
ENS010,3,2026-07-22,2026-07-22,3,5,,postgresql_d2f,76,False,v1.2.0,2026-07-22,DEPT_RT,UP_RT
ENS010,4,2026-07-22,2026-07-22,3,5,,postgresql_d2f,77,False,v1.2.0,2026-07-22,DEPT_RT,UP_RT
ENS010,5,2026-07-22,2026-07-22,3,3,,postgresql_d2f,78,False,v1.2.0,2026-07-22,DEPT_RT,UP_RT
ENS010,6,2026-07-22,2026-07-22,3,5,,postgresql_d2f,80,False,v1.2.0,2026-07-22,DEPT_RT,UP_RT
ENS011,1,2026-07-22,2026-07-22,3,5,,postgresql_d2f,84,False,v1.2.0,2026-07-22,DEPT_RT,UP_RT
ENS011,2,2026-07-22,2026-07-22,1,5,,postgresql_d2f,85,False,v1.2.0,2026-07-22,DEPT_RT,UP_RT
ENS011,3,2026-07-22,2026-07-22,2,5,,postgresql_d2f,87,False,v1.2.0,2026-07-22,DEPT_RT,UP_RT
ENS011,6,2026-07-22,2026-07-22,1,5,,postgresql_d2f,88,False,v1.2.0,2026-07-22,DEPT_RT,UP_RT
ENS012,1,2026-07-22,2026-07-22,1,5,,postgresql_d2f,91,False,v1.2.0,2026-07-22,DEPT_RT,UP_RT
ENS012,2,2026-07-22,2026-07-22,1,2,,postgresql_d2f,92,False,v1.2.0,2026-07-22,DEPT_RT,UP_RT
ENS012,3,2026-07-22,2026-07-22,1,5,,postgresql_d2f,95,False,v1.2.0,2026-07-22,DEPT_RT,UP_RT
ENS012,5,2026-07-22,2026-07-22,2,3,,postgresql_d2f,96,False,v1.2.0,2026-07-22,DEPT_RT,UP_RT
ENS012,6,2026-07-22,2026-07-22,1,5,,postgresql_d2f,97,False,v1.2.0,2026-07-22,DEPT_RT,UP_RT
ENS013,1,2026-07-22,2026-07-22,1,2,,postgresql_d2f,101,False,v1.2.0,2026-07-22,DEPT_RT,UP_RT
ENS013,2,2026-07-22,2026-07-22,3,5,,postgresql_d2f,102,False,v1.2.0,2026-07-22,DEPT_RT,UP_RT
ENS013,3,2026-07-22,2026-07-22,1,5,,postgresql_d2f,104,False,v1.2.0,2026-07-22,DEPT_RT,UP_RT
ENS013,4,2026-07-22,2026-07-22,2,5,,postgresql_d2f,105,False,v1.2.0,2026-07-22,DEPT_RT,UP_RT
ENS013,5,2026-07-22,2026-07-22,2,3,,postgresql_d2f,106,False,v1.2.0,2026-07-22,DEPT_RT,UP_RT
ENS013,6,2026-07-22,2026-07-22,3,5,,postgresql_d2f,108,False,v1.2.0,2026-07-22,DEPT_RT,UP_RT
ENS014,1,2026-07-22,2026-07-22,2,5,,postgresql_d2f,113,False,v1.2.0,2026-07-22,DEPT_GC,UP_GC
ENS014,2,2026-07-22,2026-07-22,1,5,,postgresql_d2f,116,False,v1.2.0,2026-07-22,DEPT_GC,UP_GC
ENS014,3,2026-07-22,2026-07-22,1,5,,postgresql_d2f,118,False,v1.2.0,2026-07-22,DEPT_GC,UP_GC
ENS014,4,2026-07-22,2026-07-22,2,5,,postgresql_d2f,120,False,v1.2.0,2026-07-22,DEPT_GC,UP_GC
ENS014,5,2026-07-22,2026-07-22,1,3,,postgresql_d2f,121,False,v1.2.0,2026-07-22,DEPT_GC,UP_GC
ENS014,6,2026-07-22,2026-07-22,3,5,,postgresql_d2f,122,False,v1.2.0,2026-07-22,DEPT_GC,UP_GC
ENS015,1,2026-07-22,2026-07-22,3,5,,postgresql_d2f,126,False,v1.2.0,2026-07-22,DEPT_GC,UP_GC
ENS015,2,2026-07-22,2026-07-22,3,5,,postgresql_d2f,128,False,v1.2.0,2026-07-22,DEPT_GC,UP_GC
ENS015,3,2026-07-22,2026-07-22,2,2,,postgresql_d2f,131,False,v1.2.0,2026-07-22,DEPT_GC,UP_GC
ENS015,4,2026-07-22,2026-07-22,1,5,,postgresql_d2f,133,False,v1.2.0,2026-07-22,DEPT_GC,UP_GC
ENS015,5,2026-07-22,2026-07-22,1,3,,postgresql_d2f,134,False,v1.2.0,2026-07-22,DEPT_GC,UP_GC
ENS015,6,2026-07-22,2026-07-22,1,5,,postgresql_d2f,136,False,v1.2.0,2026-07-22,DEPT_GC,UP_GC
ENS016,1,2026-07-22,2026-07-22,1,5,,postgresql_d2f,141,False,v1.2.0,2026-07-22,DEPT_GC,UP_GC
ENS016,2,2026-07-22,2026-07-22,3,5,,postgresql_d2f,143,False,v1.2.0,2026-07-22,DEPT_GC,UP_GC
ENS016,3,2026-07-22,2026-07-22,3,2,,postgresql_d2f,145,False,v1.2.0,2026-07-22,DEPT_GC,UP_GC
ENS016,4,2026-07-22,2026-07-22,2,5,,postgresql_d2f,146,False,v1.2.0,2026-07-22,DEPT_GC,UP_GC
ENS016,5,2026-07-22,2026-07-22,3,3,,postgresql_d2f,147,False,v1.2.0,2026-07-22,DEPT_GC,UP_GC
ENS016,6,2026-07-22,2026-07-22,3,5,,postgresql_d2f,149,False,v1.2.0,2026-07-22,DEPT_GC,UP_GC
ENS017,1,2026-07-22,2026-07-22,3,5,,postgresql_d2f,152,False,v1.2.0,2026-07-22,DEPT_GC,UP_GC
ENS017,2,2026-07-22,2026-07-22,2,2,,postgresql_d2f,153,False,v1.2.0,2026-07-22,DEPT_GC,UP_GC
ENS017,3,2026-07-22,2026-07-22,2,5,,postgresql_d2f,156,False,v1.2.0,2026-07-22,DEPT_GC,UP_GC
ENS017,4,2026-07-22,2026-07-22,1,5,,postgresql_d2f,158,False,v1.2.0,2026-07-22,DEPT_GC,UP_GC
ENS017,6,2026-07-22,2026-07-22,2,5,,postgresql_d2f,160,False,v1.2.0,2026-07-22,DEPT_GC,UP_GC
ENS018,1,2026-07-22,2026-07-22,2,5,,postgresql_d2f,164,False,v1.2.0,2026-07-22,DEPT_WEB,UP_WEB
ENS018,2,2026-07-22,2026-07-22,2,2,,postgresql_d2f,165,False,v1.2.0,2026-07-22,DEPT_WEB,UP_WEB
ENS018,3,2026-07-22,2026-07-22,3,5,,postgresql_d2f,166,False,v1.2.0,2026-07-22,DEPT_WEB,UP_WEB
ENS018,4,2026-07-22,2026-07-22,3,5,,postgresql_d2f,167,False,v1.2.0,2026-07-22,DEPT_WEB,UP_WEB
ENS019,1,2026-07-22,2026-07-22,2,5,,postgresql_d2f,174,False,v1.2.0,2026-07-22,DEPT_WEB,UP_WEB
ENS019,2,2026-07-22,2026-07-22,2,5,,postgresql_d2f,175,False,v1.2.0,2026-07-22,DEPT_WEB,UP_WEB
ENS019,3,2026-07-22,2026-07-22,2,5,,postgresql_d2f,178,False,v1.2.0,2026-07-22,DEPT_WEB,UP_WEB
ENS019,4,2026-07-22,2026-07-22,3,5,,postgresql_d2f,181,False,v1.2.0,2026-07-22,DEPT_WEB,UP_WEB
ENS019,5,2026-07-22,2026-07-22,3,3,,postgresql_d2f,182,False,v1.2.0,2026-07-22,DEPT_WEB,UP_WEB
ENS019,6,2026-07-22,2026-07-22,1,5,,postgresql_d2f,184,False,v1.2.0,2026-07-22,DEPT_WEB,UP_WEB
ENS020,1,2026-07-22,2026-07-22,2,5,,postgresql_d2f,188,False,v1.2.0,2026-07-22,DEPT_WEB,UP_WEB
ENS020,2,2026-07-22,2026-07-22,2,5,,postgresql_d2f,190,False,v1.2.0,2026-07-22,DEPT_WEB,UP_WEB
ENS020,3,2026-07-22,2026-07-22,2,5,,postgresql_d2f,191,False,v1.2.0,2026-07-22,DEPT_WEB,UP_WEB
ENS020,4,2026-07-22,2026-07-22,3,5,,postgresql_d2f,192,False,v1.2.0,2026-07-22,DEPT_WEB,UP_WEB
ENS020,5,2026-07-22,2026-07-22,1,3,,postgresql_d2f,193,False,v1.2.0,2026-07-22,DEPT_WEB,UP_WEB
ENS021,1,2026-07-22,2026-07-22,3,5,,postgresql_d2f,195,False,v1.2.0,2026-07-22,DEPT_WEB,UP_WEB
ENS021,2,2026-07-22,2026-07-22,2,5,,postgresql_d2f,196,False,v1.2.0,2026-07-22,DEPT_WEB,UP_WEB
ENS021,3,2026-07-22,2026-07-22,3,5,,postgresql_d2f,200,False,v1.2.0,2026-07-22,DEPT_WEB,UP_WEB
ENS021,4,2026-07-22,2026-07-22,1,5,,postgresql_d2f,202,False,v1.2.0,2026-07-22,DEPT_WEB,UP_WEB
ENS021,6,2026-07-22,2026-07-22,2,5,,postgresql_d2f,204,False,v1.2.0,2026-07-22,DEPT_WEB,UP_WEB
ENS022,1,2026-07-22,2026-07-22,1,5,,postgresql_d2f,210,False,v1.2.0,2026-07-22,DEPT_IA,UP_IA
ENS022,2,2026-07-22,2026-07-22,3,2,,postgresql_d2f,212,False,v1.2.0,2026-07-22,DEPT_IA,UP_IA
ENS022,3,2026-07-22,2026-07-22,2,5,,postgresql_d2f,213,False,v1.2.0,2026-07-22,DEPT_IA,UP_IA
ENS022,4,2026-07-22,2026-07-22,1,5,,postgresql_d2f,216,False,v1.2.0,2026-07-22,DEPT_IA,UP_IA
ENS022,6,2026-07-22,2026-07-22,2,5,,postgresql_d2f,217,False,v1.2.0,2026-07-22,DEPT_IA,UP_IA
ENS023,1,2026-07-22,2026-07-22,3,5,,postgresql_d2f,220,False,v1.2.0,2026-07-22,DEPT_IA,UP_IA
ENS023,2,2026-07-22,2026-07-22,3,2,,postgresql_d2f,221,False,v1.2.0,2026-07-22,DEPT_IA,UP_IA
ENS023,3,2026-07-22,2026-07-22,3,5,,postgresql_d2f,223,False,v1.2.0,2026-07-22,DEPT_IA,UP_IA
ENS023,4,2026-07-22,2026-07-22,2,5,,postgresql_d2f,225,False,v1.2.0,2026-07-22,DEPT_IA,UP_IA
ENS023,6,2026-07-22,2026-07-22,1,5,,postgresql_d2f,227,False,v1.2.0,2026-07-22,DEPT_IA,UP_IA
ENS024,1,2026-07-22,2026-07-22,1,5,,postgresql_d2f,232,False,v1.2.0,2026-07-22,DEPT_IA,UP_IA
ENS024,2,2026-07-22,2026-07-22,2,5,,postgresql_d2f,235,False,v1.2.0,2026-07-22,DEPT_IA,UP_IA
ENS024,3,2026-07-22,2026-07-22,3,5,,postgresql_d2f,236,False,v1.2.0,2026-07-22,DEPT_IA,UP_IA
ENS024,4,2026-07-22,2026-07-22,3,5,,postgresql_d2f,238,False,v1.2.0,2026-07-22,DEPT_IA,UP_IA
ENS024,6,2026-07-22,2026-07-22,1,5,,postgresql_d2f,239,False,v1.2.0,2026-07-22,DEPT_IA,UP_IA
ENS025,1,2026-07-22,2026-07-22,3,5,,postgresql_d2f,241,False,v1.2.0,2026-07-22,DEPT_IA,UP_IA
ENS025,2,2026-07-22,2026-07-22,2,5,,postgresql_d2f,243,False,v1.2.0,2026-07-22,DEPT_IA,UP_IA
ENS025,3,2026-07-22,2026-07-22,1,5,,postgresql_d2f,245,False,v1.2.0,2026-07-22,DEPT_IA,UP_IA
ENS025,4,2026-07-22,2026-07-22,3,5,,postgresql_d2f,246,False,v1.2.0,2026-07-22,DEPT_IA,UP_IA
ENS025,6,2026-07-22,2026-07-22,3,5,,postgresql_d2f,247,False,v1.2.0,2026-07-22,DEPT_IA,UP_IA
ENS026,1,2026-07-22,2026-07-22,1,5,,postgresql_d2f,251,False,v1.2.0,2026-07-22,DEPT_IA,UP_IA
ENS026,2,2026-07-22,2026-07-22,2,5,,postgresql_d2f,252,False,v1.2.0,2026-07-22,DEPT_IA,UP_IA
ENS026,3,2026-07-22,2026-07-22,3,5,,postgresql_d2f,255,False,v1.2.0,2026-07-22,DEPT_IA,UP_IA
ENS026,4,2026-07-22,2026-07-22,3,5,,postgresql_d2f,257,False,v1.2.0,2026-07-22,DEPT_IA,UP_IA
ENS026,5,2026-07-22,2026-07-22,1,3,,postgresql_d2f,258,False,v1.2.0,2026-07-22,DEPT_IA,UP_IA
ENS026,6,2026-07-22,2026-07-22,2,5,,postgresql_d2f,259,False,v1.2.0,2026-07-22,DEPT_IA,UP_IA
ENS027,1,2026-07-22,2026-07-22,3,5,,postgresql_d2f,264,False,v1.2.0,2026-07-22,,
ENS027,2,2026-07-22,2026-07-22,1,5,,postgresql_d2f,265,False,v1.2.0,2026-07-22,,
ENS027,3,2026-07-22,2026-07-22,1,2,,postgresql_d2f,268,False,v1.2.0,2026-07-22,,
ENS027,4,2026-07-22,2026-07-22,2,5,,postgresql_d2f,271,False,v1.2.0,2026-07-22,,
ENS027,5,2026-07-22,2026-07-22,1,3,,postgresql_d2f,272,False,v1.2.0,2026-07-22,,
ENS027,6,2026-07-22,2026-07-22,1,5,,postgresql_d2f,273,False,v1.2.0,2026-07-22,,
FORM001,1,2026-07-22,2026-07-22,2,5,,postgresql_d2f,278,False,v1.2.0,2026-07-22,,
FORM001,2,2026-07-22,2026-07-22,1,2,,postgresql_d2f,282,False,v1.2.0,2026-07-22,,
FORM001,3,2026-07-22,2026-07-22,2,5,,postgresql_d2f,280,False,v1.2.0,2026-07-22,,
FORM001,4,2026-07-22,2026-07-22,3,5,,postgresql_d2f,281,False,v1.2.0,2026-07-22,,
FORM001,5,2026-07-22,2026-07-22,1,3,,postgresql_d2f,283,False,v1.2.0,2026-07-22,,
FORM001,6,2026-07-22,2026-07-22,3,5,,postgresql_d2f,284,False,v1.2.0,2026-07-22,,
