teacher_id,competence_id,competence_code,ref_month,date_t,current_level_t3,current_level_t2,current_level_t1,current_level_t,lag_gap_t3_t2,lag_gap_t2_t1,lag_gap_t1_t,rolling_tendance,days_since_last_training,training_frequency_per_month,is_long_absent,is_stagnant,avg_level,min_level,max_level,nb_level_5,nb_level_1,nb_savoirs,nb_competences,competency_coverage_rate,nb_formations_completed,nb_formations_in_progress,taux_assiduite,nb_besoins_exprimes,nb_besoins_approuves,avg_eval_score,nb_evaluations,months_since_last_training,engagement_score,gap_next_3m,source_type,source_id,is_synthetic,created_at,dataset_version
ENS041,6,C6,2023-03-27,2023-03-27,3,3,3,2,0,0,-1,-0.3333333333333333,20.0,1.0,0,0,2.6666666666666665,2.0,3.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.657030223390276,2.0,3.333333333333333,postgresql_d2f,376,False,2023-03-27,v1.1.0
ENS_GC1,15,C15,2023-06-01,2023-06-01,3,3,3,2,0,0,-1,-0.3333333333333333,365.0,0.0,1,0,2.5,2.0,3.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.990801576872535,0.0,2.333333333333333,postgresql_d2f,413,False,2023-06-01,v1.1.0
ENS042,8,C8,2023-06-12,2023-06-12,2,2,2,2,0,0,0,0.0,365.0,0.0,1,0,2.0,2.0,2.0,0.0,0.0,2.0,6.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.990801576872535,0.0,3.0,postgresql_d2f,393,False,2023-06-12,v1.1.0
ENS039,1,C1,2023-07-07,2023-07-07,3,3,4,3,0,1,-1,0.0,225.0,0.1352888888888889,1,0,3.2,3.0,4.0,0.0,0.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.391590013140604,2.0,2.0,postgresql_d2f,364,False,2023-07-07,v1.1.0
ENS037,1,C1,2023-08-22,2023-08-22,3,3,3,2,0,0,-1,-0.3333333333333333,19.0,1.0,0,0,2.5,2.0,3.0,0.0,0.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6241787122207622,2.0,3.333333333333333,postgresql_d2f,348,False,2023-08-22,v1.1.0
ENS_T02,9,C9,2023-09-01,2023-09-01,4,4,4,3,0,0,-1,-0.3333333333333333,365.0,0.0,1,0,3.5,3.0,4.0,0.0,0.0,2.0,3.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.990801576872535,0.0,0.3333333333333335,postgresql_d2f,405,False,2023-09-01,v1.1.0
ENS037,3,C3,2023-09-12,2023-09-12,3,3,3,3,0,0,0,0.0,19.0,1.0,0,0,3.0,3.0,3.0,0.0,0.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6241787122207622,2.0,2.0,postgresql_d2f,350,False,2023-09-12,v1.1.0
ENS040,4,C4,2023-11-28,2023-11-28,3,3,2,2,0,-1,0,-0.3333333333333333,153.0,0.19895424836601308,0,0,2.3333333333333335,2.0,3.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.026281208935611,2.0,3.333333333333333,postgresql_d2f,370,False,2023-11-28,v1.1.0
ENS003,4,C4,2023-12-01,2023-12-01,4,4,3,3,0,-1,0,-0.3333333333333333,18.0,2.0,0,0,3.3333333333333335,3.0,4.0,0.0,0.0,3.0,2.0,1.0,2.0,0.0,0.9411764705882353,0.0,0.0,3.0,2.0,0.5913272010512484,17.705882352941178,2.3333333333333335,postgresql_d2f,11,False,2023-12-01,v1.1.0
ENS004,8,C8,2024-01-01,2024-01-01,4,4,4,3,0,0,-1,-0.3333333333333333,14.0,3.0,0,0,3.5,3.0,4.0,0.0,0.0,2.0,2.0,1.0,3.0,0.0,0.9285714285714286,0.0,0.0,3.0,1.0,0.45992115637319314,18.142857142857142,2.3333333333333335,postgresql_d2f,14,False,2024-01-01,v1.1.0
ENS004,1,C1,2024-01-01,2024-01-01,3,3,3,3,0,0,0,0.0,14.0,3.0,0,0,3.0,3.0,3.0,0.0,0.0,1.0,2.0,0.5,3.0,0.0,0.9285714285714286,0.0,0.0,3.0,1.0,0.45992115637319314,18.142857142857142,2.0,postgresql_d2f,13,False,2024-01-01,v1.1.0
ENS_T01,1,C1,2024-01-01,2024-01-01,1,1,2,2,0,1,0,0.3333333333333333,365.0,0.0,1,0,1.5,1.0,2.0,0.0,2.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.990801576872535,0.0,2.6666666666666665,postgresql_d2f,397,False,2024-01-01,v1.1.0
ENS_GC1,13,C13,2024-01-15,2024-01-15,2,2,2,1,0,0,-1,-0.3333333333333333,365.0,0.0,1,0,1.5,1.0,2.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.990801576872535,0.0,3.0,postgresql_d2f,411,False,2024-01-15,v1.1.0
ENS_T01,2,C2,2024-02-01,2024-02-01,1,1,1,1,0,0,0,0.0,365.0,0.0,1,0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.990801576872535,0.0,4.0,postgresql_d2f,398,False,2024-02-01,v1.1.0
ENS005,2,C2,2024-03-01,2024-03-01,3,3,3,3,0,0,0,0.0,98.0,0.3106122448979592,0,0,3.0,3.0,3.0,0.0,0.0,1.0,3.0,0.5,1.0,0.0,0.6666666666666666,0.0,0.0,3.5,1.0,3.219448094612352,13.833333333333332,2.0,postgresql_d2f,17,False,2024-03-01,v1.1.0
ENS038,1,C1,2024-04-17,2024-04-17,2,2,2,1,0,0,-1,-0.3333333333333333,27.0,1.0,0,0,1.6666666666666667,1.0,2.0,0.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8869908015768725,2.0,4.0,postgresql_d2f,356,False,2024-04-17,v1.1.0
ENS_T01,3,C3,2024-05-01,2024-05-01,2,2,2,2,0,0,0,0.0,365.0,0.0,1,0,2.0,2.0,2.0,0.0,0.0,1.0,3.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.990801576872535,0.0,3.0,postgresql_d2f,399,False,2024-05-01,v1.1.0
ENS041,7,C7,2024-05-16,2024-05-16,2,2,2,2,0,0,0,0.0,20.0,1.0,0,0,2.0,2.0,2.0,0.0,0.0,1.0,3.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.657030223390276,2.0,0.0,postgresql_d2f,377,False,2024-05-16,v1.1.0
ENS003,3,C3,2024-06-01,2024-06-01,2,2,2,2,0,0,0,0.0,18.0,2.0,0,0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,0.3333333333333333,2.0,0.0,0.9411764705882353,0.0,0.0,3.0,2.0,0.5913272010512484,17.705882352941178,3.0,postgresql_d2f,12,False,2024-06-01,v1.1.0
ENS001,1,C1,2024-06-01,2024-06-01,4,4,4,3,0,0,-1,-0.3333333333333333,100.0,0.6088,0,0,3.6666666666666665,3.0,4.0,0.0,0.0,3.0,2.0,1.0,2.0,0.0,0.8823529411764706,0.0,0.0,4.166666666666667,3.0,3.2851511169513796,21.245098039215687,2.3333333333333335,postgresql_d2f,3,False,2024-06-01,v1.1.0
ENS040,5,C5,2024-06-05,2024-06-05,3,3,3,3,0,0,0,0.0,153.0,0.19895424836601308,0,0,3.0,3.0,3.0,0.0,0.0,1.0,3.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.026281208935611,2.0,0.0,postgresql_d2f,371,False,2024-06-05,v1.1.0
ENS036,8,C8,2024-06-30,2024-06-30,3,3,3,2,0,0,-1,-0.3333333333333333,24.0,1.0,0,0,2.5,2.0,3.0,0.0,0.0,2.0,4.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7884362680683311,2.0,3.333333333333333,postgresql_d2f,344,False,2024-06-30,v1.1.0
ENS037,5,C5,2024-07-19,2024-07-19,2,2,2,2,0,0,0,0.0,19.0,1.0,0,0,2.0,2.0,2.0,0.0,0.0,1.0,4.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6241787122207622,2.0,1.0,postgresql_d2f,351,False,2024-07-19,v1.1.0
ENS038,10,C10,2024-08-30,2024-08-30,3,3,3,2,0,0,-1,-0.3333333333333333,27.0,1.0,0,0,2.5,2.0,3.0,0.0,0.0,2.0,3.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8869908015768725,2.0,1.3333333333333333,postgresql_d2f,358,False,2024-08-30,v1.1.0
ENS002,2,C2,2024-09-01,2024-09-01,4,4,4,3,0,0,-1,-0.3333333333333333,99.0,0.614949494949495,0,0,3.5,3.0,4.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,0.8235294117647058,0.0,0.0,4.25,2.0,3.252299605781866,19.61764705882353,2.3333333333333335,postgresql_d2f,7,False,2024-09-01,v1.1.0
ENS001,3,C3,2025-01-01,2025-01-01,3,3,3,2,0,0,-1,-0.3333333333333333,100.0,0.6088,0,0,2.5,2.0,3.0,0.0,0.0,2.0,2.0,0.6666666666666666,2.0,0.0,0.8823529411764706,0.0,0.0,4.166666666666667,3.0,3.2851511169513796,21.245098039215687,3.333333333333333,postgresql_d2f,5,False,2025-01-01,v1.1.0
ENS005,1,C1,2025-01-01,2025-01-01,4,4,4,3,0,0,-1,-0.3333333333333333,98.0,0.3106122448979592,0,0,3.5,3.0,4.0,0.0,0.0,2.0,3.0,1.0,1.0,0.0,0.6666666666666666,0.0,0.0,3.5,1.0,3.219448094612352,13.833333333333332,2.3333333333333335,postgresql_d2f,18,False,2025-01-01,v1.1.0
ENS035,2,C2,2025-01-20,2025-01-20,3,3,3,2,0,0,-1,-0.3333333333333333,21.0,1.0,0,0,2.6666666666666665,2.0,3.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6898817345597897,2.0,3.333333333333333,postgresql_d2f,334,False,2025-01-20,v1.1.0
ENS038,9,C9,2025-02-14,2025-02-14,2,2,2,2,0,0,0,0.0,27.0,1.0,0,0,2.0,2.0,2.0,0.0,0.0,1.0,3.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8869908015768725,2.0,1.0,postgresql_d2f,359,False,2025-02-14,v1.1.0
ENS002,6,C6,2025-03-01,2025-03-01,2,2,2,2,0,0,0,0.0,99.0,0.614949494949495,0,0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,0.5,2.0,0.0,0.8235294117647058,0.0,0.0,4.25,2.0,3.252299605781866,19.61764705882353,3.0,postgresql_d2f,8,False,2025-03-01,v1.1.0
ENS035,8,C8,2025-03-15,2025-03-15,1,1,1,3,0,0,2,0.6666666666666666,21.0,1.0,0,0,2.0,1.0,3.0,0.0,1.0,2.0,3.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6898817345597897,2.0,1.3333333333333335,postgresql_d2f,337,False,2025-03-15,v1.1.0
ENS036,3,C3,2025-04-08,2025-04-08,2,2,2,2,0,0,0,0.0,24.0,1.0,0,0,2.0,2.0,2.0,0.0,0.0,1.0,4.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7884362680683311,2.0,3.0,postgresql_d2f,343,False,2025-04-08,v1.1.0
ENS037,10,C10,2025-05-15,2025-05-15,4,4,4,1,0,0,-3,-1.0,19.0,1.0,0,0,2.5,1.0,4.0,0.0,1.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6241787122207622,2.0,2.0,postgresql_d2f,353,False,2025-05-15,v1.1.0
ENS005,3,C3,2025-06-01,2025-06-01,2,2,2,2,0,0,0,0.0,98.0,0.3106122448979592,0,0,2.0,2.0,2.0,0.0,0.0,1.0,3.0,0.5,1.0,0.0,0.6666666666666666,0.0,0.0,3.5,1.0,3.219448094612352,13.833333333333332,0.0,postgresql_d2f,19,False,2025-06-01,v1.1.0
ENS036,2,C2,2025-06-25,2025-06-25,1,1,2,1,0,1,-1,0.0,24.0,1.0,0,0,1.3333333333333333,1.0,2.0,0.0,2.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7884362680683311,2.0,4.0,postgresql_d2f,341,False,2025-06-25,v1.1.0
ENS039,9,C9,2025-08-19,2025-08-19,1,1,1,1,0,0,0,0.0,225.0,0.1352888888888889,1,0,1.0,1.0,1.0,0.0,2.0,2.0,3.0,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.391590013140604,2.0,2.0,postgresql_d2f,367,False,2025-08-19,v1.1.0
ENS036,11,C11,2025-09-05,2025-09-05,4,4,4,4,0,0,0,0.0,24.0,1.0,0,0,4.0,4.0,4.0,0.0,0.0,1.0,4.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7884362680683311,2.0,0.0,postgresql_d2f,346,False,2025-09-05,v1.1.0
ENS040,10,C10,2025-09-30,2025-09-30,1,1,1,2,0,0,1,0.3333333333333333,153.0,0.19895424836601308,0,0,1.5,1.0,2.0,0.0,1.0,2.0,3.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.026281208935611,2.0,0.6666666666666665,postgresql_d2f,373,False,2025-09-30,v1.1.0
ENS035,11,C11,2026-01-18,2026-01-18,3,3,3,1,0,0,-2,-0.6666666666666666,21.0,1.0,0,0,2.0,1.0,3.0,0.0,1.0,2.0,3.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6898817345597897,2.0,1.0,postgresql_d2f,339,False,2026-01-18,v1.1.0
ENS041,9,C9,2026-02-11,2026-02-11,3,3,2,1,0,-1,-1,-0.6666666666666666,20.0,1.0,0,0,2.0,1.0,3.0,0.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.657030223390276,2.0,2.0,postgresql_d2f,380,False,2026-02-11,v1.1.0
ENS023,3,C3,2026-07-22,2026-07-22,2,2,2,3,0,0,1,0.3333333333333333,365.0,0.0,1,0,2.5,2.0,3.0,0.0,0.0,2.0,5.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.990801576872535,0.0,1.6666666666666665,postgresql_d2f,223,False,2026-07-22,v1.1.0
ENS024,2,C2,2026-07-22,2026-07-22,3,3,3,2,0,0,-1,-0.3333333333333333,365.0,0.0,1,0,2.6666666666666665,2.0,3.0,0.0,0.0,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.990801576872535,0.0,3.333333333333333,postgresql_d2f,235,False,2026-07-22,v1.1.0
ENS024,3,C3,2026-07-22,2026-07-22,3,3,3,3,0,0,0,0.0,365.0,0.0,1,0,3.0,3.0,3.0,0.0,0.0,1.0,5.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.990801576872535,0.0,2.0,postgresql_d2f,236,False,2026-07-22,v1.1.0
ENS023,6,C6,2026-07-22,2026-07-22,1,1,1,1,0,0,0,0.0,365.0,0.0,1,0,1.0,1.0,1.0,0.0,2.0,2.0,5.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.990801576872535,0.0,4.0,postgresql_d2f,227,False,2026-07-22,v1.1.0
ENS024,4,C4,2026-07-22,2026-07-22,1,1,1,3,0,0,2,0.6666666666666666,365.0,0.0,1,0,2.0,1.0,3.0,0.0,1.0,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.990801576872535,0.0,1.3333333333333335,postgresql_d2f,238,False,2026-07-22,v1.1.0
ENS023,4,C4,2026-07-22,2026-07-22,3,3,3,2,0,0,-1,-0.3333333333333333,365.0,0.0,1,0,2.5,2.0,3.0,0.0,0.0,2.0,5.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.990801576872535,0.0,3.333333333333333,postgresql_d2f,225,False,2026-07-22,v1.1.0
ENS024,1,C1,2026-07-22,2026-07-22,2,1,1,1,-1,0,0,-0.3333333333333333,365.0,0.0,1,0,1.6,1.0,3.0,0.0,3.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.990801576872535,0.0,4.0,postgresql_d2f,232,False,2026-07-22,v1.1.0
ENS023,2,C2,2026-07-22,2026-07-22,3,3,3,3,0,0,0,0.0,365.0,0.0,1,0,3.0,3.0,3.0,0.0,0.0,1.0,5.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.990801576872535,0.0,0.0,postgresql_d2f,221,False,2026-07-22,v1.1.0
FORM001,1,C1,2026-07-22,2026-07-22,1,1,1,2,0,0,1,0.3333333333333333,365.0,0.0,1,0,1.2,1.0,2.0,0.0,4.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,4.5,1.0,11.990801576872535,10.5,2.6666666666666665,postgresql_d2f,278,False,2026-07-22,v1.1.0
ENS022,6,C6,2026-07-22,2026-07-22,2,2,2,2,0,0,0,0.0,365.0,0.0,1,0,2.0,2.0,2.0,0.0,0.0,1.0,5.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.990801576872535,0.0,3.0,postgresql_d2f,217,False,2026-07-22,v1.1.0
ENS022,4,C4,2026-07-22,2026-07-22,2,2,3,1,0,1,-2,-0.3333333333333333,365.0,0.0,1,0,2.0,1.0,3.0,0.0,1.0,3.0,5.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.990801576872535,0.0,4.0,postgresql_d2f,216,False,2026-07-22,v1.1.0
ENS022,3,C3,2026-07-22,2026-07-22,2,2,2,2,0,0,0,0.0,365.0,0.0,1,0,2.0,2.0,2.0,0.0,0.0,1.0,5.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.990801576872535,0.0,3.0,postgresql_d2f,213,False,2026-07-22,v1.1.0
ENS024,6,C6,2026-07-22,2026-07-22,1,1,1,1,0,0,0,0.0,365.0,0.0,1,0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.990801576872535,0.0,4.0,postgresql_d2f,239,False,2026-07-22,v1.1.0
ENS022,2,C2,2026-07-22,2026-07-22,3,3,3,3,0,0,0,0.0,365.0,0.0,1,0,3.0,3.0,3.0,0.0,0.0,2.0,5.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.990801576872535,0.0,0.0,postgresql_d2f,212,False,2026-07-22,v1.1.0
ENS022,1,C1,2026-07-22,2026-07-22,3,3,3,1,0,0,-2,-0.6666666666666666,365.0,0.0,1,0,2.3333333333333335,1.0,3.0,0.0,1.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.990801576872535,0.0,4.0,postgresql_d2f,210,False,2026-07-22,v1.1.0
ENS021,6,C6,2026-07-22,2026-07-22,2,2,2,2,0,0,0,0.0,365.0,0.0,1,0,2.0,2.0,2.0,0.0,0.0,2.0,5.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.990801576872535,0.0,3.0,postgresql_d2f,204,False,2026-07-22,v1.1.0
ENS021,4,C4,2026-07-22,2026-07-22,3,3,3,1,0,0,-2,-0.6666666666666666,365.0,0.0,1,0,2.0,1.0,3.0,0.0,1.0,2.0,5.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.990801576872535,0.0,4.0,postgresql_d2f,202,False,2026-07-22,v1.1.0
ENS023,1,C1,2026-07-22,2026-07-22,1,1,2,3,0,1,1,0.6666666666666666,365.0,0.0,1,0,2.0,1.0,3.0,0.0,1.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.990801576872535,0.0,1.3333333333333335,postgresql_d2f,220,False,2026-07-22,v1.1.0
ENS025,1,C1,2026-07-22,2026-07-22,2,2,2,3,0,0,1,0.3333333333333333,365.0,0.0,1,0,2.5,2.0,3.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.990801576872535,0.0,1.6666666666666665,postgresql_d2f,241,False,2026-07-22,v1.1.0
ENS026,5,C5,2026-07-22,2026-07-22,1,1,1,1,0,0,0,0.0,365.0,0.0,1,0,1.0,1.0,1.0,0.0,1.0,1.0,6.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.990801576872535,0.0,2.0,postgresql_d2f,258,False,2026-07-22,v1.1.0
ENS025,3,C3,2026-07-22,2026-07-22,2,2,2,1,0,0,-1,-0.3333333333333333,365.0,0.0,1,0,1.5,1.0,2.0,0.0,1.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.990801576872535,0.0,4.0,postgresql_d2f,245,False,2026-07-22,v1.1.0
FORM001,2,C2,2026-07-22,2026-07-22,1,1,1,1,0,0,0,0.0,365.0,0.0,1,0,1.0,1.0,1.0,0.0,1.0,1.0,6.0,0.2,0.0,0.0,0.0,0.0,0.0,4.5,1.0,11.990801576872535,10.5,1.0,postgresql_d2f,282,False,2026-07-22,v1.1.0
FORM001,3,C3,2026-07-22,2026-07-22,3,3,3,2,0,0,-1,-0.3333333333333333,365.0,0.0,1,0,2.5,2.0,3.0,0.0,0.0,2.0,6.0,0.4,0.0,0.0,0.0,0.0,0.0,4.5,1.0,11.990801576872535,10.5,3.333333333333333,postgresql_d2f,280,False,2026-07-22,v1.1.0
FORM001,4,C4,2026-07-22,2026-07-22,3,3,3,3,0,0,0,0.0,365.0,0.0,1,0,3.0,3.0,3.0,0.0,0.0,1.0,6.0,0.2,0.0,0.0,0.0,0.0,0.0,4.5,1.0,11.990801576872535,10.5,2.0,postgresql_d2f,281,False,2026-07-22,v1.1.0
ENS021,3,C3,2026-07-22,2026-07-22,1,2,1,3,1,-1,2,0.6666666666666666,365.0,0.0,1,0,1.75,1.0,3.0,0.0,2.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.990801576872535,0.0,1.3333333333333335,postgresql_d2f,200,False,2026-07-22,v1.1.0
ENS027,6,C6,2026-07-22,2026-07-22,1,1,1,1,0,0,0,0.0,365.0,0.0,1,0,1.0,1.0,1.0,0.0,1.0,1.0,6.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.990801576872535,0.0,4.0,postgresql_d2f,273,False,2026-07-22,v1.1.0
ENS027,5,C5,2026-07-22,2026-07-22,1,1,1,1,0,0,0,0.0,365.0,0.0,1,0,1.0,1.0,1.0,0.0,1.0,1.0,6.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.990801576872535,0.0,2.0,postgresql_d2f,272,False,2026-07-22,v1.1.0
ENS027,4,C4,2026-07-22,2026-07-22,3,3,2,2,0,-1,0,-0.3333333333333333,365.0,0.0,1,0,2.3333333333333335,2.0,3.0,0.0,0.0,3.0,6.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.990801576872535,0.0,3.333333333333333,postgresql_d2f,271,False,2026-07-22,v1.1.0
ENS027,3,C3,2026-07-22,2026-07-22,2,2,3,1,0,1,-2,-0.3333333333333333,365.0,0.0,1,0,2.0,1.0,3.0,0.0,1.0,3.0,6.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.990801576872535,0.0,1.0,postgresql_d2f,268,False,2026-07-22,v1.1.0
ENS027,2,C2,2026-07-22,2026-07-22,1,1,1,1,0,0,0,0.0,365.0,0.0,1,0,1.0,1.0,1.0,0.0,1.0,1.0,6.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.990801576872535,0.0,4.0,postgresql_d2f,265,False,2026-07-22,v1.1.0
