teacher_id,competence_id,competence_code,department_id,unit_id,ref_month,date_t,current_observation,knowledge_difficulty_level,required_level,gap_next_3m,current_level_t3,current_level_t2,current_level_t1,current_level_t,lag_gap_t3_t2,lag_gap_t2_t1,lag_gap_t1_t,rolling_tendance,days_since_last_training,training_frequency_per_month,is_long_absent,is_stagnant,avg_level,min_level,max_level,nb_level_5,nb_level_1,nb_savoirs,nb_competences,competency_coverage_rate,nb_formations_completed,nb_formations_in_progress,taux_assiduite,nb_besoins_exprimes,nb_besoins_approuves,avg_eval_score,nb_evaluations,months_since_last_training,engagement_score,attendance_rate,evaluation_score,training_count,stagnation_months,need_count,source_type,source_id,data_origin,is_synthetic,institutional_verified,generation_seed,generator_version,dataset_version,created_at
SYN_T0018,13,C13,DEP_03,UP_06,2025-01,2025-01-31,1.81,2.0,4.0,2.239,2.0,3.0,2.0,2.0,1.0,-1.0,0.0,0.0,999.0,0.0,0,0,2.25,2.0,3.0,0.0,0.0,3.0,6.0,0.462,0.0,1.0,0.607,1.0,0.0,1.618,1.0,13.0,0.549,0.607,1.618,0,1.0,1.0,synthetic_generator,demo_gen_seed42,SYNTHETIC,true,false,42,generator-synthetic-v1.0.0,synthetic-v1.0.0,2025-01-31
SYN_T0019,5,C5,DEP_04,UP_07,2025-01,2025-01-31,1.58,3.0,5.0,2.042,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.25,0,1,2.0,2.0,2.0,0.0,0.0,3.0,9.0,0.692,1.0,1.0,0.914,1.0,0.0,2.969,1.0,0.0,0.845,0.914,2.969,1,3.0,1.0,synthetic_generator,demo_gen_seed42,SYNTHETIC,true,false,42,generator-synthetic-v1.0.0,synthetic-v1.0.0,2025-01-31
SYN_T0019,6,C6,DEP_04,UP_07,2025-01,2025-01-31,2.26,1.0,3.0,0.0,3.0,3.0,4.0,4.0,0.0,1.0,0.0,0.333,0.0,0.5,0,0,3.5,3.0,4.0,0.0,0.0,4.0,9.0,0.692,2.0,1.0,0.801,0.0,0.0,2.969,1.0,0.0,0.879,0.801,2.969,2,1.0,0.0,synthetic_generator,demo_gen_seed42,SYNTHETIC,true,false,42,generator-synthetic-v1.0.0,synthetic-v1.0.0,2025-01-31
SYN_T0019,9,C9,DEP_04,UP_07,2025-01,2025-01-31,2.3,1.0,3.0,0.004,2.0,3.0,3.0,3.0,1.0,0.0,0.0,0.333,0.0,0.25,0,0,2.75,2.0,3.0,0.0,0.0,3.0,9.0,0.692,1.0,1.0,0.877,0.0,0.0,2.969,1.0,0.0,0.747,0.877,2.969,1,2.0,0.0,synthetic_generator,demo_gen_seed42,SYNTHETIC,true,false,42,generator-synthetic-v1.0.0,synthetic-v1.0.0,2025-01-31
SYN_T0025,2,C2,DEP_05,UP_01,2025-01,2025-01-31,2.4,3.0,5.0,2.085,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.5,0,1,3.0,3.0,3.0,0.0,0.0,4.0,7.0,0.538,2.0,2.0,0.634,1.0,1.0,2.586,1.0,0.0,0.715,0.634,2.586,2,3.0,1.0,synthetic_generator,demo_gen_seed42,SYNTHETIC,true,false,42,generator-synthetic-v1.0.0,synthetic-v1.0.0,2025-01-31
SYN_T0027,4,C4,DEP_02,UP_03,2025-01,2025-01-31,2.73,2.0,4.0,0.125,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,999.0,0.0,1,1,3.0,3.0,3.0,0.0,0.0,2.0,7.0,0.538,0.0,1.0,0.266,1.0,1.0,2.794,1.0,13.0,0.19,0.266,2.794,0,3.0,1.0,synthetic_generator,demo_gen_seed42,SYNTHETIC,true,false,42,generator-synthetic-v1.0.0,synthetic-v1.0.0,2025-01-31
SYN_T0031,9,C9,DEP_01,UP_07,2025-01,2025-01-31,3.0,1.0,3.0,0.0,5.0,5.0,5.0,4.0,0.0,0.0,-1.0,-0.333,0.0,0.5,0,0,4.75,4.0,5.0,3.0,0.0,3.0,7.0,0.538,2.0,0.0,0.753,0.0,0.0,3.912,1.0,0.0,0.876,0.753,3.912,2,0.0,0.0,synthetic_generator,demo_gen_seed42,SYNTHETIC,true,false,42,generator-synthetic-v1.0.0,synthetic-v1.0.0,2025-01-31
SYN_T0032,8,C8,DEP_02,UP_08,2025-01,2025-01-31,2.82,3.0,5.0,3.018,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,999.0,0.0,0,1,2.0,2.0,2.0,0.0,0.0,2.0,7.0,0.538,0.0,0.0,0.533,1.0,0.0,2.159,1.0,13.0,0.418,0.533,2.159,0,3.0,1.0,synthetic_generator,demo_gen_seed42,SYNTHETIC,true,false,42,generator-synthetic-v1.0.0,synthetic-v1.0.0,2025-01-31
SYN_T0035,10,C10,DEP_05,UP_11,2025-01,2025-01-31,1.91,2.0,4.0,1.02,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,999.0,0.0,0,1,3.0,3.0,3.0,0.0,0.0,4.0,8.0,0.615,0.0,1.0,0.877,1.0,1.0,2.963,1.0,13.0,0.53,0.877,2.963,0,3.0,1.0,synthetic_generator,demo_gen_seed42,SYNTHETIC,true,false,42,generator-synthetic-v1.0.0,synthetic-v1.0.0,2025-01-31
SYN_T0037,5,C5,DEP_02,UP_01,2025-01,2025-01-31,2.78,3.0,5.0,2.014,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,999.0,0.0,0,1,3.0,3.0,3.0,0.0,0.0,3.0,8.0,0.615,0.0,1.0,0.717,1.0,1.0,3.022,1.0,13.0,0.545,0.717,3.022,0,3.0,1.0,synthetic_generator,demo_gen_seed42,SYNTHETIC,true,false,42,generator-synthetic-v1.0.0,synthetic-v1.0.0,2025-01-31
SYN_T0039,6,C6,DEP_04,UP_03,2025-01,2025-01-31,2.61,1.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,999.0,0.0,0,1,3.0,3.0,3.0,0.0,0.0,4.0,7.0,0.538,0.0,0.0,0.851,0.0,0.0,2.015,1.0,13.0,0.6,0.851,2.015,0,3.0,0.0,synthetic_generator,demo_gen_seed42,SYNTHETIC,true,false,42,generator-synthetic-v1.0.0,synthetic-v1.0.0,2025-01-31
SYN_T0043,3,C3,DEP_03,UP_07,2025-01,2025-01-31,1.36,1.0,3.0,0.002,2.0,1.0,2.0,2.0,-1.0,1.0,0.0,0.0,999.0,0.0,0,0,1.75,1.0,2.0,0.0,1.0,5.0,7.0,0.538,0.0,1.0,0.665,1.0,1.0,1.723,1.0,13.0,0.58,0.665,1.723,0,1.0,1.0,synthetic_generator,demo_gen_seed42,SYNTHETIC,true,false,42,generator-synthetic-v1.0.0,synthetic-v1.0.0,2025-01-31
SYN_T0043,5,C5,DEP_03,UP_07,2025-01,2025-01-31,2.11,3.0,5.0,1.995,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,999.0,0.0,0,1,3.0,3.0,3.0,0.0,0.0,3.0,7.0,0.538,0.0,1.0,0.636,1.0,1.0,1.723,1.0,13.0,0.458,0.636,1.723,0,3.0,1.0,synthetic_generator,demo_gen_seed42,SYNTHETIC,true,false,42,generator-synthetic-v1.0.0,synthetic-v1.0.0,2025-01-31
SYN_T0044,7,C7,DEP_04,UP_08,2025-01,2025-01-31,2.8,2.0,4.0,1.051,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,999.0,0.0,0,1,3.0,3.0,3.0,0.0,0.0,5.0,10.0,0.769,0.0,0.0,0.739,1.0,0.0,2.52,1.0,13.0,0.625,0.739,2.52,0,3.0,1.0,synthetic_generator,demo_gen_seed42,SYNTHETIC,true,false,42,generator-synthetic-v1.0.0,synthetic-v1.0.0,2025-01-31
SYN_T0045,9,C9,DEP_05,UP_09,2025-01,2025-01-31,2.54,1.0,3.0,0.094,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.25,1,1,3.0,3.0,3.0,0.0,0.0,3.0,8.0,0.615,1.0,0.0,0.289,0.0,0.0,3.209,1.0,0.0,0.589,0.289,3.209,1,3.0,0.0,synthetic_generator,demo_gen_seed42,SYNTHETIC,true,false,42,generator-synthetic-v1.0.0,synthetic-v1.0.0,2025-01-31
SYN_T0046,7,C7,DEP_01,UP_10,2025-01,2025-01-31,3.15,2.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,999.0,0.0,1,1,4.0,4.0,4.0,0.0,0.0,5.0,8.0,0.615,0.0,0.0,0.413,0.0,0.0,2.783,1.0,13.0,0.465,0.413,2.783,0,3.0,0.0,synthetic_generator,demo_gen_seed42,SYNTHETIC,true,false,42,generator-synthetic-v1.0.0,synthetic-v1.0.0,2025-01-31
SYN_T0048,12,C12,DEP_03,UP_12,2025-01,2025-01-31,2.69,1.0,3.0,0.095,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.25,0,1,3.0,3.0,3.0,0.0,0.0,2.0,7.0,0.538,1.0,0.0,0.816,0.0,0.0,2.937,1.0,0.0,0.766,0.816,2.937,1,3.0,0.0,synthetic_generator,demo_gen_seed42,SYNTHETIC,true,false,42,generator-synthetic-v1.0.0,synthetic-v1.0.0,2025-01-31
SYN_T0050,9,C9,DEP_05,UP_02,2025-01,2025-01-31,2.37,1.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,999.0,0.0,1,1,3.0,3.0,3.0,0.0,0.0,3.0,6.0,0.462,0.0,0.0,0.214,0.0,0.0,2.17,1.0,13.0,0.228,0.214,2.17,0,3.0,0.0,synthetic_generator,demo_gen_seed42,SYNTHETIC,true,false,42,generator-synthetic-v1.0.0,synthetic-v1.0.0,2025-01-31
SYN_T0051,1,C1,DEP_01,UP_03,2025-01,2025-01-31,2.4,2.0,4.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,999.0,0.0,0,1,3.0,3.0,3.0,0.0,0.0,3.0,6.0,0.462,0.0,0.0,0.503,1.0,1.0,2.255,1.0,13.0,0.386,0.503,2.255,0,3.0,1.0,synthetic_generator,demo_gen_seed42,SYNTHETIC,true,false,42,generator-synthetic-v1.0.0,synthetic-v1.0.0,2025-01-31
SYN_T0052,10,C10,DEP_02,UP_04,2025-01,2025-01-31,2.09,2.0,4.0,0.975,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,999.0,0.0,1,1,3.0,3.0,3.0,0.0,0.0,4.0,6.0,0.462,0.0,0.0,0.083,1.0,0.0,2.644,1.0,13.0,0.263,0.083,2.644,0,3.0,1.0,synthetic_generator,demo_gen_seed42,SYNTHETIC,true,false,42,generator-synthetic-v1.0.0,synthetic-v1.0.0,2025-01-31
SYN_T0055,1,C1,DEP_05,UP_07,2025-01,2025-01-31,2.46,2.0,4.0,0.96,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,999.0,0.0,0,1,3.0,3.0,3.0,0.0,0.0,3.0,8.0,0.615,0.0,0.0,0.502,1.0,1.0,2.546,1.0,13.0,0.43,0.502,2.546,0,3.0,1.0,synthetic_generator,demo_gen_seed42,SYNTHETIC,true,false,42,generator-synthetic-v1.0.0,synthetic-v1.0.0,2025-01-31
SYN_T0059,1,C1,DEP_04,UP_11,2025-01,2025-01-31,2.57,2.0,4.0,0.771,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,999.0,0.0,0,1,3.0,3.0,3.0,0.0,0.0,3.0,7.0,0.538,0.0,0.0,0.679,1.0,1.0,2.163,1.0,13.0,0.389,0.679,2.163,0,3.0,1.0,synthetic_generator,demo_gen_seed42,SYNTHETIC,true,false,42,generator-synthetic-v1.0.0,synthetic-v1.0.0,2025-01-31
SYN_T0059,3,C3,DEP_04,UP_11,2025-01,2025-01-31,2.32,1.0,3.0,0.925,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,999.0,0.0,0,1,3.0,3.0,3.0,0.0,0.0,5.0,7.0,0.538,0.0,0.0,0.799,0.0,0.0,2.163,1.0,13.0,0.43,0.799,2.163,0,3.0,0.0,synthetic_generator,demo_gen_seed42,SYNTHETIC,true,false,42,generator-synthetic-v1.0.0,synthetic-v1.0.0,2025-01-31
SYN_T0060,4,C4,DEP_05,UP_12,2025-01,2025-01-31,3.27,2.0,4.0,1.219,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,999.0,0.0,1,1,3.0,3.0,3.0,0.0,0.0,2.0,6.0,0.462,0.0,0.0,0.424,1.0,0.0,3.616,1.0,13.0,0.483,0.424,3.616,0,3.0,1.0,synthetic_generator,demo_gen_seed42,SYNTHETIC,true,false,42,generator-synthetic-v1.0.0,synthetic-v1.0.0,2025-01-31
SYN_T0069,7,C7,DEP_04,UP_09,2025-01,2025-01-31,2.49,2.0,4.0,1.001,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,999.0,0.0,1,1,3.0,3.0,3.0,0.0,0.0,5.0,7.0,0.538,0.0,0.0,0.298,1.0,0.0,3.292,1.0,13.0,0.337,0.298,3.292,0,3.0,1.0,synthetic_generator,demo_gen_seed42,SYNTHETIC,true,false,42,generator-synthetic-v1.0.0,synthetic-v1.0.0,2025-01-31
SYN_T0072,10,C10,DEP_02,UP_12,2025-01,2025-01-31,2.01,2.0,4.0,1.767,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,999.0,0.0,1,1,2.0,2.0,2.0,0.0,0.0,4.0,6.0,0.462,0.0,0.0,0.309,1.0,0.0,2.561,1.0,13.0,0.348,0.309,2.561,0,3.0,1.0,synthetic_generator,demo_gen_seed42,SYNTHETIC,true,false,42,generator-synthetic-v1.0.0,synthetic-v1.0.0,2025-01-31
SYN_T0073,5,C5,DEP_03,UP_01,2025-01,2025-01-31,2.24,3.0,5.0,1.825,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,999.0,0.0,0,1,2.0,2.0,2.0,0.0,0.0,3.0,7.0,0.538,0.0,2.0,0.623,1.0,0.0,2.147,1.0,13.0,0.451,0.623,2.147,0,3.0,1.0,synthetic_generator,demo_gen_seed42,SYNTHETIC,true,false,42,generator-synthetic-v1.0.0,synthetic-v1.0.0,2025-01-31
SYN_T0074,2,C2,DEP_04,UP_02,2025-01,2025-01-31,3.77,3.0,5.0,0.017,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,999.0,0.0,0,1,4.0,4.0,4.0,0.0,0.0,4.0,9.0,0.692,0.0,0.0,0.637,1.0,1.0,2.673,1.0,13.0,0.6,0.637,2.673,0,3.0,1.0,synthetic_generator,demo_gen_seed42,SYNTHETIC,true,false,42,generator-synthetic-v1.0.0,synthetic-v1.0.0,2025-01-31
SYN_T0075,11,C11,DEP_05,UP_03,2025-01,2025-01-31,1.35,3.0,5.0,2.257,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,999.0,0.0,0,1,3.0,3.0,3.0,0.0,0.0,5.0,6.0,0.462,0.0,0.0,0.645,1.0,0.0,2.403,1.0,13.0,0.387,0.645,2.403,0,3.0,1.0,synthetic_generator,demo_gen_seed42,SYNTHETIC,true,false,42,generator-synthetic-v1.0.0,synthetic-v1.0.0,2025-01-31
SYN_T0078,12,C12,DEP_03,UP_06,2025-01,2025-01-31,2.94,1.0,3.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,999.0,0.0,1,1,4.0,4.0,4.0,0.0,0.0,2.0,8.0,0.615,0.0,0.0,0.425,0.0,0.0,3.213,1.0,13.0,0.457,0.425,3.213,0,3.0,0.0,synthetic_generator,demo_gen_seed42,SYNTHETIC,true,false,42,generator-synthetic-v1.0.0,synthetic-v1.0.0,2025-01-31
SYN_T0079,11,C11,DEP_04,UP_07,2025-01,2025-01-31,3.17,3.0,5.0,1.945,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,999.0,0.0,0,1,3.0,3.0,3.0,0.0,0.0,5.0,5.0,0.385,0.0,0.0,0.798,1.0,1.0,2.69,1.0,13.0,0.545,0.798,2.69,0,3.0,1.0,synthetic_generator,demo_gen_seed42,SYNTHETIC,true,false,42,generator-synthetic-v1.0.0,synthetic-v1.0.0,2025-01-31
SYN_T0080,11,C11,DEP_05,UP_08,2025-01,2025-01-31,2.62,3.0,5.0,1.705,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,999.0,0.0,0,1,3.0,3.0,3.0,0.0,0.0,5.0,6.0,0.462,0.0,1.0,0.678,1.0,1.0,3.019,1.0,13.0,0.533,0.678,3.019,0,3.0,1.0,synthetic_generator,demo_gen_seed42,SYNTHETIC,true,false,42,generator-synthetic-v1.0.0,synthetic-v1.0.0,2025-01-31
SYN_T0086,2,C2,DEP_01,UP_02,2025-01,2025-01-31,3.3,3.0,5.0,0.947,3.0,3.0,3.0,4.0,0.0,0.0,1.0,0.333,0.0,0.25,0,0,3.25,3.0,4.0,0.0,0.0,4.0,8.0,0.615,1.0,1.0,0.812,1.0,0.0,2.002,1.0,0.0,0.821,0.812,2.002,1,0.0,1.0,synthetic_generator,demo_gen_seed42,SYNTHETIC,true,false,42,generator-synthetic-v1.0.0,synthetic-v1.0.0,2025-01-31
SYN_T0089,10,C10,DEP_04,UP_05,2025-01,2025-01-31,1.1,2.0,4.0,0.898,3.0,3.0,3.0,2.0,0.0,0.0,-1.0,-0.333,999.0,0.0,0,0,2.75,2.0,3.0,0.0,0.0,4.0,8.0,0.615,0.0,1.0,0.629,1.0,1.0,3.486,1.0,13.0,0.499,0.629,3.486,0,0.0,1.0,synthetic_generator,demo_gen_seed42,SYNTHETIC,true,false,42,generator-synthetic-v1.0.0,synthetic-v1.0.0,2025-01-31
SYN_T0092,8,C8,DEP_02,UP_08,2025-01,2025-01-31,1.67,3.0,5.0,3.006,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,999.0,0.0,0,1,2.0,2.0,2.0,0.0,0.0,2.0,8.0,0.615,0.0,0.0,0.622,1.0,1.0,3.385,1.0,13.0,0.582,0.622,3.385,0,3.0,1.0,synthetic_generator,demo_gen_seed42,SYNTHETIC,true,false,42,generator-synthetic-v1.0.0,synthetic-v1.0.0,2025-01-31
SYN_T0096,10,C10,DEP_01,UP_12,2025-01,2025-01-31,2.9,2.0,4.0,1.066,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,999.0,0.0,0,1,3.0,3.0,3.0,0.0,0.0,4.0,6.0,0.462,0.0,0.0,0.505,1.0,1.0,1.72,1.0,13.0,0.381,0.505,1.72,0,3.0,1.0,synthetic_generator,demo_gen_seed42,SYNTHETIC,true,false,42,generator-synthetic-v1.0.0,synthetic-v1.0.0,2025-01-31
SYN_T0097,5,C5,DEP_02,UP_01,2025-01,2025-01-31,2.39,3.0,5.0,1.836,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,999.0,0.0,0,1,3.0,3.0,3.0,0.0,0.0,3.0,8.0,0.615,0.0,0.0,0.578,1.0,1.0,2.066,1.0,13.0,0.433,0.578,2.066,0,3.0,1.0,synthetic_generator,demo_gen_seed42,SYNTHETIC,true,false,42,generator-synthetic-v1.0.0,synthetic-v1.0.0,2025-01-31
SYN_T0099,13,C13,DEP_04,UP_03,2025-01,2025-01-31,2.17,2.0,4.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,999.0,0.0,0,1,3.0,3.0,3.0,0.0,0.0,3.0,9.0,0.692,0.0,2.0,0.583,1.0,1.0,2.998,1.0,13.0,0.507,0.583,2.998,0,3.0,1.0,synthetic_generator,demo_gen_seed42,SYNTHETIC,true,false,42,generator-synthetic-v1.0.0,synthetic-v1.0.0,2025-01-31
SYN_T0001,3,C3,DEP_01,UP_01,2025-02,2025-02-28,3.25,1.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.2,0,1,3.0,3.0,3.0,0.0,0.0,5.0,6.0,0.462,1.0,0.0,0.698,0.0,0.0,2.204,2.0,0.0,0.658,0.698,,1,4.0,0.0,synthetic_generator,demo_gen_seed42,SYNTHETIC,true,false,42,generator-synthetic-v1.0.0,synthetic-v1.0.0,2025-02-28
